,age,ecode,inpatient,sex,high_income,N1,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N2,N20,N21,N22,N23,N24,N25,N26,N27,N28,N3,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N4,N40,N41,N42,N43,N44,N45,N46,N47,N48,N5,N51,N52,N53,N54,N6,N7,N8,N9,N99
1840,30,inj_suicide_firearm,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1841,30,inj_suicide_firearm,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1842,30,inj_suicide_firearm,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1843,30,inj_suicide_firearm,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1844,30,inj_suicide_firearm,1,1,0,0,0,0,0.001769912,0.003539823,0.019469027,0.028318584,0.054867257,0.008849558,0.021238938,0.010619469,0.001769912,0.040707965,0,0.017699115,0.021238938,0,0.019469027,0.03539823,0.005309735,0.040707965,0.003539823,0,0.001769912,0.001769912,0.003539823,0.005309735,0.001769912,0,0.005309735,0.003539823,0,0,0.385840708,0.005309735,0.061946903,0.118584071,0,0.005309735,0.012389381,0.008849558,0.030088496,0,0,0,0,0,0,0,0.008849558,0.005309735,0
1845,30,inj_suicide_firearm,1,1,1,0,0,0,0,0,0.010025063,0.015037594,0.022556391,0.01754386,0.01754386,0.002506266,0,0.022556391,0.005012531,0.005012531,0.127819549,0,0.010025063,0.01754386,0.002506266,0.045112782,0,0,0,0.010025063,0,0.012531328,0,0,0,0.032581454,0.005012531,0,0.355889724,0.002506266,0.135338346,0.102756892,0.002506266,0,0.002506266,0.010025063,0,0.002506266,0,0,0,0,0,0.002506266,0.002506266,0,0
1846,30,inj_suicide_firearm,1,2,0,0,0,0.013157895,0,0,0.026315789,0,0.065789474,0.013157895,0.013157895,0.013157895,0,0.013157895,0,0.026315789,0.013157895,0,0,0,0.026315789,0.039473684,0,0.013157895,0,0,0.013157895,0,0,0,0,0,0.013157895,0,0.381578947,0.052631579,0.092105263,0.131578947,0,0.013157895,0,0.013157895,0.013157895,0,0,0,0,0,0,0,0,0,0
1847,30,inj_suicide_firearm,1,2,1,0,0,0,0,0,0.012048193,0,0.024096386,0.024096386,0.012048193,0,0,0.048192771,0,0,0.096385542,0,0,0,0.012048193,0.012048193,0,0,0,0,0,0.012048193,0,0,0,0.072289157,0,0,0.34939759,0,0.120481928,0.204819277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1848,30,inj_suicide_other,0,1,0,0,0,0,0,0.010638298,0.010638298,0,0,0,0.021276596,0,0,0.021276596,0,0,0,0,0.010638298,0,0,0.021276596,0.010638298,0,0.010638298,0.053191489,0,0,0,0.085106383,0,0,0,0,0.180851064,0.531914894,0.010638298,0.010638298,0,0,0,0.010638298,0,0,0,0,0,0,0,0,0,0,0
1849,30,inj_suicide_other,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1850,30,inj_suicide_other,0,2,0,0,0,0,0,0,0,0,0,0,0.010752688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021505376,0,0,0,0,0.075268817,0.838709677,0,0.010752688,0.010752688,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0
1851,30,inj_suicide_other,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0.976190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1852,30,inj_suicide_other,1,1,0,0,0.000637349,0.000159337,0.002390057,0.003186743,0.044614404,0.006373486,0.01513703,0.005098789,0.032345443,0.00223072,0.00111536,0.019120459,0.00223072,0.012428298,0.003186743,0.000318674,0.007329509,0.004620778,0.005258126,0.009878904,0.007648184,0.000318674,0.002390057,0.011631612,0.000159337,0.000478011,0.000478011,0.010834927,0.004780115,0.011472275,0.010038241,0.001593372,0.141172721,0.49553856,0.018801785,0.026449968,0.001912046,0.004939452,0.01736775,0.008285532,0.010197578,0.000796686,0,0,0,0,0.000796686,0.000637349,0.01848311,0.01513703,0
1853,30,inj_suicide_other,1,1,1,0,0.000306923,1.10E-05,0,4.38E-05,0.007958083,0.000383654,0.000449423,0.001381155,0.001808655,0.000252116,0.000208269,0.002071732,0.000986539,0.000416539,0.001107116,0.000339808,0.000997501,0.000657693,0.000657693,0.002214232,0.0001425,1.10E-05,0.000372693,0.00453808,0.000175385,0.000230192,0.000175385,0.005086158,0.000197308,0.003847503,0.000438462,0.000131539,0.084228526,0.85112027,0.002630771,0.004735388,0.004033849,0.001775771,0.000690577,0.008067699,0.000252116,5.48E-05,0,0,0,0,3.29E-05,3.29E-05,0.004000965,0.000745385,0
1854,30,inj_suicide_other,1,2,0,0.000195733,0.000391466,0.000195733,0.000978665,0.001370131,0.015071443,0.001761597,0.004110393,0.002544529,0.005284792,0.000587199,0.000391466,0.00841652,0.000782932,0.004893326,0.000587199,0,0.002348796,0.003131728,0.001565864,0.001565864,0.000978665,0.000195733,0.001174398,0.004501859,0,0,0,0.002153063,0.000195733,0.005676258,0.004306126,0.000587199,0.057741241,0.765316109,0.002935995,0.009395185,0.000391466,0.002935995,0.027794089,0.004697592,0.004697592,0.000195733,0,0,0,0,0.000391466,0,0.026619691,0.020943433,0
1855,30,inj_suicide_other,1,2,1,0,0.000121508,0,8.68E-06,0,0.003905606,0.000112829,0.000112829,0.0007898,0.000243015,0.000130187,2.60E-05,0.000824517,0.000650934,0.000138866,0.000277732,0.000121508,0.000477352,0.000225657,0.000216978,0.000572822,1.74E-05,0,0.000303769,0.004495786,0.000112829,0.000112829,8.68E-05,0.001510168,0.000112829,0.001336585,0.000130187,3.47E-05,0.057993907,0.906300176,0.00059886,0.001414697,0.00356712,0.001128286,0.000703009,0.007698383,0.000104149,1.74E-05,0,0,0,0,0,1.74E-05,0.002803357,0.000442635,0
1856,30,inj_trans_other,0,1,0,0,0,0.0625,0,0,0.1875,0,0,0.0625,0.0625,0,0,0.25,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.0625,0,0,0,0,0,0,0.0625,0.0625,0,0,0,0,0,0,0,0,0.0625,0
1857,30,inj_trans_other,0,1,1,0,0,0,0.090909091,0,0.181818182,0,0,0,0,0.090909091,0,0,0.090909091,0.090909091,0.090909091,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0.090909091,0.090909091,0
1858,30,inj_trans_other,0,2,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0
1859,30,inj_trans_other,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1860,30,inj_trans_other,1,1,0,0.004242191,0,0.003856537,0.005399152,0.019282684,0.048592364,0.054377169,0.035094485,0.032780563,0.05129194,0.019668338,0.001928268,0.149247975,0.016583108,0.078673351,0.012340918,0.002313922,0.015040494,0.046278442,0.021596606,0.046278442,0.008870035,0.000385654,0.000385654,0.001156961,0.001542615,0.001542615,0.001542615,0,0.015811801,0.001542615,0.005784805,0.020053992,0.089857308,0.013112225,0.010412649,0.025067489,0.005013498,0.006556113,0.037794061,0.012340918,0.055919784,0.008484381,0,0,0,0,0.001928268,0.005013498,0.004242191,0.000771307,0
1861,30,inj_trans_other,1,1,1,5.38E-05,0.000634777,0.000570224,0.004088395,0.003087814,0.037344264,0.012878446,0.02233555,0.026208766,0.025326534,0.012953758,0.000258214,0.122770211,0.013158178,0.020452736,0.031846448,0.004690896,0.025681579,0.020474254,0.038226497,0.025487918,0.002722011,0.000150625,0.002356207,0.007133174,0.004755449,0.006423084,0.001323349,0.002775805,0.008069201,0.01950595,0.007875541,0.000763884,0.123426506,0.111871409,0.034041271,0.050480924,0.038075872,0.009833667,0.067609149,0.02222796,0.000925268,0.0006025,0,0,0,0,0.001850537,0.000258214,0.023400684,0.003012502,0
1862,30,inj_trans_other,1,2,0,0.004261364,0,0.002840909,0.004261364,0.015625,0.045454545,0.061079545,0.03125,0.03125,0.029829545,0.014204545,0,0.188920455,0.011363636,0.095170455,0.004261364,0.001420455,0.021306818,0.034090909,0.022727273,0.046875,0.001420455,0,0,0.004261364,0,0,0.001420455,0,0.002840909,0.002840909,0.001420455,0.009943182,0.098011364,0.026988636,0.009943182,0.026988636,0.004261364,0.005681818,0.061079545,0.014204545,0.052556818,0.002840909,0,0,0,0,0.001420455,0,0.002840909,0.002840909,0
1863,30,inj_trans_other,1,2,1,4.01E-05,0.000301054,0.000722529,0.003552434,0.001204215,0.038113397,0.011259408,0.007185148,0.014450577,0.007405921,0.00818866,2.01E-05,0.114701455,0.012985449,0.016919217,0.011078776,0.003030607,0.022378324,0.009613648,0.027596588,0.013748118,0.000642248,0.000200702,0.003652785,0.006924235,0.002267938,0.003532363,0.003973909,0.005780231,0.003753136,0.009713999,0.005599599,0.000381335,0.079518314,0.229563472,0.014310085,0.030406422,0.048770697,0.007225289,0.171680883,0.027155043,0.000642248,0.000401405,0,0,0,0,0.000321124,0.000100351,0.017481184,0.001505268,0
1864,30,inj_trans_road_2wheel,0,1,0,0,0,0.006849315,0,0.017123288,0.030821918,0.058219178,0.030821918,0.01369863,0.034246575,0.006849315,0,0.191780822,0,0.085616438,0.01369863,0.010273973,0,0.020547945,0.003424658,0.113013699,0.003424658,0,0,0,0,0,0,0,0.003424658,0,0.006849315,0.003424658,0.065068493,0,0.010273973,0.01369863,0.01369863,0,0,0.174657534,0.065068493,0,0,0,0,0,0,0,0.003424658,0,0
1865,30,inj_trans_road_2wheel,0,1,1,0,0,0,0,0.039735099,0.039735099,0.092715232,0,0.059602649,0.112582781,0.013245033,0,0.17218543,0.006622517,0.105960265,0.013245033,0.006622517,0.013245033,0.033112583,0,0.072847682,0.006622517,0,0,0,0,0.006622517,0,0,0.006622517,0,0,0,0.072847682,0,0.013245033,0.013245033,0.006622517,0,0,0.039735099,0.052980132,0,0,0,0,0,0,0,0,0,0
1866,30,inj_trans_road_2wheel,0,2,0,0,0,0,0,0.021505376,0.107526882,0.043010753,0,0.010752688,0.010752688,0.010752688,0,0.139784946,0,0.064516129,0.010752688,0,0.021505376,0.032258065,0.010752688,0.11827957,0.010752688,0,0,0,0,0,0,0,0,0,0.010752688,0,0.053763441,0,0.010752688,0,0.021505376,0,0,0.225806452,0.064516129,0,0,0,0,0,0,0,0,0,0
1867,30,inj_trans_road_2wheel,0,2,1,0,0,0,0.142857143,0,0,0,0.285714286,0,0,0,0,0.285714286,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1868,30,inj_trans_road_2wheel,1,1,0,0,1.76E-05,0.005250639,0.007030218,0.016597657,0.053475465,0.053651661,0.041088891,0.038745485,0.048260065,0.017478636,0.000176196,0.19090829,0.015646199,0.094493877,0.009761255,0.001550524,0.015751916,0.063553872,0.01427187,0.048964849,0.004263942,1.76E-05,0.000123337,5.29E-05,0.001638622,0.00086336,5.29E-05,0,0.003982028,0.002625319,0.003382962,0.004986345,0.099903092,0.000722403,0.01603383,0.027433706,0.003118668,0.001920536,0.016403841,0.014747599,0.051026341,0.000405251,0,0,0,0,0.00042287,0.001955775,0.004228702,0.00301295,0
1869,30,inj_trans_road_2wheel,1,1,1,3.00E-05,0,0.002038308,0.006294775,0.006114925,0.033092533,0.062677977,0.011570397,0.038338179,0.051377357,0.015047511,0.000809328,0.218938281,0.028776116,0.068673001,0.023320644,0.021252361,0.023140793,0.062857828,0.033961812,0.064986062,0.000329726,0,3.00E-05,0,0.003836815,0.006714427,3.00E-05,0,0.002308084,0.008363059,0.001109079,0.001558706,0.054284943,8.99E-05,0.046341537,0.043673751,0.017835197,0.0001199,0.000899254,0.029945146,0.0062648,0.000149876,0,0,0,0,8.99E-05,8.99E-05,0.002368035,0.000269776,0
1870,30,inj_trans_road_2wheel,1,2,0,0,0,0.003847966,0.008088582,0.011622428,0.048374431,0.059996859,0.034631695,0.036516413,0.02944872,0.013821266,0.00023559,0.220276425,0.015784514,0.102952725,0.006517983,0.001413539,0.015470394,0.070048689,0.019082771,0.03895084,0.002120308,7.85E-05,0.00023559,7.85E-05,0.000863829,0.000549709,0,7.85E-05,0.001806188,0.001963248,0.002905607,0.002905607,0.10766452,0.00047118,0.008481231,0.025600754,0.003062667,0.001570598,0.016726873,0.018847181,0.056384482,0.00015706,0,0,0,0,0,0.002277368,0.004790325,0.003298257,0
1871,30,inj_trans_road_2wheel,1,2,1,0,0,0.002973468,0.006175663,0.003888381,0.029734675,0.041171089,0.014181153,0.01852699,0.038197621,0.01326624,0.000457457,0.232159195,0.031107045,0.065187557,0.022415371,0.01189387,0.023559012,0.050091491,0.042086002,0.126258005,0,0,0,0,0.002058554,0.004345837,0,0,0.001601098,0.007548033,0.000686185,0.00137237,0.062442818,0.000228728,0.026989936,0.034080512,0.024245197,0.000686185,0,0.046660567,0.007776761,0.000228728,0,0,0,0,0.000228728,0.000914913,0.003888381,0.000686185,0
1872,30,inj_trans_road_4wheel,0,1,0,0,0,0.007912957,0.002967359,0.016815035,0.066271019,0.044510386,0.018793274,0.009891197,0.022749753,0.008902077,0,0.067260138,0.015825915,0.037586548,0.012858556,0.010880317,0.005934718,0.022749753,0.001978239,0.141444115,0.001978239,0,0,0,0.003956479,0.00098912,0,0,0.001978239,0.001978239,0.007912957,0,0.048466864,0,0.016815035,0.008902077,0.019782394,0,0,0.286844708,0.083086053,0.00098912,0,0,0,0,0,0,0.00098912,0,0
1873,30,inj_trans_road_4wheel,0,1,1,0,0,0,0,0.033333333,0.091666667,0.066666667,0.058333333,0.025,0.066666667,0,0,0.075,0,0.033333333,0.008333333,0.041666667,0.05,0.025,0.016666667,0.158333333,0,0,0,0,0.008333333,0,0,0,0,0,0,0,0.033333333,0,0.008333333,0.008333333,0.025,0,0.008333333,0.116666667,0.025,0.008333333,0,0,0,0,0,0,0.008333333,0,0
1874,30,inj_trans_road_4wheel,0,2,0,0,0,0.011516315,0.003838772,0.005758157,0.124760077,0.038387716,0.009596929,0.003838772,0.013435701,0.011516315,0,0.046065259,0.015355086,0.049904031,0.007677543,0.011516315,0.021113244,0.028790787,0.001919386,0.105566219,0.001919386,0,0,0,0.001919386,0,0,0,0.007677543,0.001919386,0.001919386,0,0.042226488,0,0.005758157,0.007677543,0.030710173,0,0.001919386,0.293666027,0.092130518,0,0,0,0,0,0,0,0,0,0
1875,30,inj_trans_road_4wheel,0,2,1,0,0,0,0,0,0.123287671,0.01369863,0.082191781,0,0.02739726,0.01369863,0,0.123287671,0,0.04109589,0,0.02739726,0.054794521,0,0,0.150684932,0,0,0,0,0,0.01369863,0,0,0,0,0,0,0.01369863,0,0,0.01369863,0.02739726,0,0,0.232876712,0.04109589,0,0,0,0,0,0,0,0,0,0
1876,30,inj_trans_road_4wheel,1,1,0,8.20E-05,0,0.010740346,0.003525457,0.008362712,0.040091826,0.049889317,0.040952693,0.016069525,0.021767648,0.024719193,0.000409937,0.122448143,0.026727884,0.060014758,0.0162335,0.007788801,0.033532836,0.076330245,0.019472001,0.099204722,0.002623596,4.10E-05,0.000204968,8.20E-05,0.0038944,0.002172665,4.10E-05,0,0.004345331,0.004345331,0.011068295,0.002418628,0.085430844,0.001393785,0.027916701,0.041526605,0.008157744,0.000983848,0.010084447,0.043617283,0.063499221,0.001393785,0,0,0,0,0.000368943,0.000409937,0.003730426,0.00188571,0
1877,30,inj_trans_road_4wheel,1,1,1,0.000101261,2.53E-05,0.002506202,0.001949268,0.002734039,0.037491773,0.0268594,0.013138575,0.022479874,0.020758443,0.02182168,0.001215128,0.107336337,0.041187788,0.024935446,0.035517189,0.0240241,0.054149157,0.05235178,0.089337249,0.063490456,0.000607564,7.59E-05,0.000177206,5.06E-05,0.009189408,0.00870842,7.59E-05,0,0.003797276,0.008480583,0.004101058,0.000632879,0.08802086,0.001012607,0.061870285,0.067237102,0.043061111,0.00073414,0.000632879,0.050022784,0.004987089,0.000708825,0,0,0,0,0.000126576,2.53E-05,0.001898638,0.000354412,0
